Category,Product Name,Price,Purchase Date
Home & Kitchen,Gokul Stainless Steel Fancy Water Jug,500.0,2024-12-16
Joyo Plastics,Joyo Kitchen Storewell Container Printed - Assorted,1265.0,2025-01-06
Baby & Kids,Nestle Ceregrow Milk & Fruits,303.0,2024-12-06
Motorbike Helmets,Studds Chrome Eco Full Face Helmet 580 mm - Black,1075.0,2025-01-03
Wonderchef,Wonderchef Nutri-Blend Black,5300.0,2024-12-21
Clothing & Accessories,Macho Printed Mini Men's Trunk - 95 cm (XL),190.0,2024-11-08
School Supplies,Cello ColourUp Celebration Kit - Small,149.0,2025-03-17
Computer Accessories,Zebronics K20 Keyboard,399.0,2024-10-12
Fruits & Vegetables,Fresh Pomegranate (Anar),225.0,2025-02-26
Grocery,Gowardhan Pure Cow Ghee Jar,160.0,2025-01-20
School Supplies,Faber-Castell Plastic Erasable Crayons,65.0,2025-01-19
Appliances,Syska Maxair Silent Operation Ceiling Fan SFP 1100 - 1200 mm,1899.0,2025-03-04
Joyo Plastics,Joyo Kitchen Storewell Container Printed - Assorted,1265.0,2025-01-27
Water Purifiers & Accessories,Eureka Aquasure Cartridge - 4000 Litres,875.0,2025-01-23
Pigeon,Pigeon Induction Cooktop Acer Plus,3595.0,2025-01-14
Plant Container,Pot Planter Saucer Base Plate - 16.5 cm,17.0,2025-01-27
Home & Kitchen,Ariel Matic Front Load Detergent Washing Powder,285.0,2025-01-05
Home & Kitchen,Cortina 2 Seater Jacquard Sofa Cover (145-185 cm) Beige,1499.0,2024-11-07
Plant Container,Krish Planter 110 - Red,150.0,2025-03-10
Motorbike Helmets,Studds Urban Open Face Helmet 580 mm - Black,1075.0,2024-11-09
Pigeon,Pigeon Induction Cooktop Acer Plus,3595.0,2024-12-17
Joyo Plastics,Joyo Kitchen Storewell Container Printed - Assorted,1265.0,2024-09-28
Baby & Kids,Nestle Cerelac Wheat Apple Cherry,263.0,2024-09-25
Packaged Food,Kurkure Green Chutney Style,20.0,2024-12-28
DMart Grocery,Eco Kolam Jirasar Sorted Rice,260.0,2024-12-05
DMart Grocery,Basmati Rice Mogra,375.0,2024-11-05
School Supplies,Cello Finegrip Pen (Jar),175.0,2025-01-24
Baby & Kids,Nestle Cerelac Multigrain Dal Veg,298.0,2024-10-24
Motorbike Helmets,Vega Verve Helmet - Medium,1295.0,2024-10-08
Appliances,Crompton IHL-201 Immersion Heater,825.0,2025-03-05
Geep,Geep G-Square Flex Box,360.0,2025-02-07
Clothing & Accessories,Clio Ladies T-Shirt & Pyjama Nightwear Set (A4),475.0,2024-12-27
Joyo Plastics,Joyo Kitchen Storewell Container Printed - Assorted,1265.0,2025-02-23
Motorbike Helmets,Studds Urban Open Face Helmet 580 mm - Black,1075.0,2024-11-15
Tableware,Disposable Bagasse Paper Plates - 17 cms,75.0,2024-10-13
Joyo Plastics,Joyo Kitchen Storewell Container Printed - Assorted,1265.0,2025-01-13
Plant Container,Pot Planter Saucer Base Plate - 13 cm,17.0,2025-03-10
Computer Accessories,Zebronics Ms Alex Optical USB Mouse,299.0,2024-11-03
Computer Accessories,Zebronics Ms Alex Optical USB Mouse,299.0,2024-10-31
Syska,Syska SDI07 Dry Iron,799.0,2024-12-28
Specials,Decorative Two Layers Multi Colour Gonda Toran - 12 Inches,250.0,2024-10-07
Grocery,Fortune Rice Bran Health Oil,199.0,2025-03-14
Appliances,Usha IH2410 Immersion Heater,650.0,2025-02-06
Raincoat,Zeel MS301 Men's Raincoat - Black,499.0,2025-01-06
Water Purifiers & Accessories,Eureka Aquasure Cartridge - 4000 Litres,875.0,2024-10-08
Grocery,Premia Kaju Special (Cashews),140.0,2024-10-19
Computer Accessories,Zebronics Ms Alex Optical USB Mouse,299.0,2024-12-10
Water Purifiers & Accessories,Eureka Aquasure Cartridge - 4000 Litres,875.0,2024-12-05
School Supplies,Doms X1 X-Tra Super Dark Pencils,50.0,2024-12-08
Joyo Plastics,Joyo Kitchen Storewell Container Printed - Assorted,1265.0,2024-11-08
